sample_id,source_type,source_path,output_image_path,status,selected_frame_index,total_frames,fps,width,height,error
aistpp__clips_3s_10fps__11_11_gBR_sBM_c01_d04_mBR3_ch01_3s_10fps,video_middle_frame,/workspace/datasets_shapy_eval/aistpp/clips_3s_10fps/11_11_gBR_sBM_c01_d04_mBR3_ch01_3s_10fps.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/aistpp__clips_3s_10fps__11_11_gBR_sBM_c01_d04_mBR3_ch01_3s_10fps.jpg,ok,15.0,30.0,10.0,1920.0,1080.0,
aistpp__clips_3s_10fps__12_12_gBR_sBM_c01_d04_mBR3_ch02_3s_10fps,video_middle_frame,/workspace/datasets_shapy_eval/aistpp/clips_3s_10fps/12_12_gBR_sBM_c01_d04_mBR3_ch02_3s_10fps.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/aistpp__clips_3s_10fps__12_12_gBR_sBM_c01_d04_mBR3_ch02_3s_10fps.jpg,ok,15.0,30.0,10.0,1920.0,1080.0,
aistpp__clips_3s_10fps__13_13_gBR_sBM_c01_d05_mBR0_ch01_3s_10fps,video_middle_frame,/workspace/datasets_shapy_eval/aistpp/clips_3s_10fps/13_13_gBR_sBM_c01_d05_mBR0_ch01_3s_10fps.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/aistpp__clips_3s_10fps__13_13_gBR_sBM_c01_d05_mBR0_ch01_3s_10fps.jpg,ok,15.0,30.0,10.0,1920.0,1080.0,
aistpp__videos__00_gBR_sBM_c01_d04_mBR0_ch01,video_middle_frame,/workspace/datasets_shapy_eval/aistpp/videos/00_gBR_sBM_c01_d04_mBR0_ch01.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/aistpp__videos__00_gBR_sBM_c01_d04_mBR0_ch01.jpg,ok,359.0,719.0,59.94005994005994,1920.0,1080.0,
aistpp__videos__01_gBR_sBM_c01_d04_mBR0_ch02,video_middle_frame,/workspace/datasets_shapy_eval/aistpp/videos/01_gBR_sBM_c01_d04_mBR0_ch02.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/aistpp__videos__01_gBR_sBM_c01_d04_mBR0_ch02.jpg,ok,359.0,719.0,59.94005994005994,1920.0,1080.0,
aistpp__videos__02_gBR_sBM_c01_d04_mBR0_ch03,video_middle_frame,/workspace/datasets_shapy_eval/aistpp/videos/02_gBR_sBM_c01_d04_mBR0_ch03.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/aistpp__videos__02_gBR_sBM_c01_d04_mBR0_ch03.jpg,ok,359.0,719.0,59.94005994005994,1920.0,1080.0,
aistpp__videos__03_gBR_sBM_c01_d04_mBR0_ch04,video_middle_frame,/workspace/datasets_shapy_eval/aistpp/videos/03_gBR_sBM_c01_d04_mBR0_ch04.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/aistpp__videos__03_gBR_sBM_c01_d04_mBR0_ch04.jpg,ok,359.0,719.0,59.94005994005994,1920.0,1080.0,
aistpp__videos__04_gBR_sBM_c01_d04_mBR0_ch05,video_middle_frame,/workspace/datasets_shapy_eval/aistpp/videos/04_gBR_sBM_c01_d04_mBR0_ch05.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/aistpp__videos__04_gBR_sBM_c01_d04_mBR0_ch05.jpg,ok,359.0,719.0,59.94005994005994,1920.0,1080.0,
aistpp__videos__05_gBR_sBM_c01_d04_mBR0_ch06,video_middle_frame,/workspace/datasets_shapy_eval/aistpp/videos/05_gBR_sBM_c01_d04_mBR0_ch06.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/aistpp__videos__05_gBR_sBM_c01_d04_mBR0_ch06.jpg,ok,359.0,719.0,59.94005994005994,1920.0,1080.0,
aistpp__videos__06_gBR_sBM_c01_d04_mBR0_ch09,video_middle_frame,/workspace/datasets_shapy_eval/aistpp/videos/06_gBR_sBM_c01_d04_mBR0_ch09.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/aistpp__videos__06_gBR_sBM_c01_d04_mBR0_ch09.jpg,ok,359.0,719.0,59.94005994005994,1920.0,1080.0,
aistpp__videos__07_gBR_sBM_c01_d04_mBR1_ch01,video_middle_frame,/workspace/datasets_shapy_eval/aistpp/videos/07_gBR_sBM_c01_d04_mBR1_ch01.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/aistpp__videos__07_gBR_sBM_c01_d04_mBR1_ch01.jpg,ok,319.0,639.0,59.94005994005994,1920.0,1080.0,
aistpp__videos__08_gBR_sBM_c01_d04_mBR1_ch02,video_middle_frame,/workspace/datasets_shapy_eval/aistpp/videos/08_gBR_sBM_c01_d04_mBR1_ch02.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/aistpp__videos__08_gBR_sBM_c01_d04_mBR1_ch02.jpg,ok,319.0,639.0,59.94005994005994,1920.0,1080.0,
aistpp__videos__09_gBR_sBM_c01_d04_mBR2_ch01,video_middle_frame,/workspace/datasets_shapy_eval/aistpp/videos/09_gBR_sBM_c01_d04_mBR2_ch01.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/aistpp__videos__09_gBR_sBM_c01_d04_mBR2_ch01.jpg,ok,287.0,575.0,59.94005994005994,1920.0,1080.0,
aistpp__videos__10_gBR_sBM_c01_d04_mBR2_ch02,video_middle_frame,/workspace/datasets_shapy_eval/aistpp/videos/10_gBR_sBM_c01_d04_mBR2_ch02.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/aistpp__videos__10_gBR_sBM_c01_d04_mBR2_ch02.jpg,ok,287.0,575.0,59.94005994005994,1920.0,1080.0,
aistpp__videos__11_gBR_sBM_c01_d04_mBR3_ch01,video_middle_frame,/workspace/datasets_shapy_eval/aistpp/videos/11_gBR_sBM_c01_d04_mBR3_ch01.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/aistpp__videos__11_gBR_sBM_c01_d04_mBR3_ch01.jpg,ok,261.0,523.0,59.94005994005994,1920.0,1080.0,
aistpp__videos__12_gBR_sBM_c01_d04_mBR3_ch02,video_middle_frame,/workspace/datasets_shapy_eval/aistpp/videos/12_gBR_sBM_c01_d04_mBR3_ch02.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/aistpp__videos__12_gBR_sBM_c01_d04_mBR3_ch02.jpg,ok,261.0,523.0,59.94005994005994,1920.0,1080.0,
aistpp__videos__13_gBR_sBM_c01_d05_mBR0_ch01,video_middle_frame,/workspace/datasets_shapy_eval/aistpp/videos/13_gBR_sBM_c01_d05_mBR0_ch01.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/aistpp__videos__13_gBR_sBM_c01_d05_mBR0_ch01.jpg,ok,359.0,719.0,59.94005994005994,1920.0,1080.0,
aistpp__videos__14_gBR_sBM_c01_d05_mBR0_ch02,video_middle_frame,/workspace/datasets_shapy_eval/aistpp/videos/14_gBR_sBM_c01_d05_mBR0_ch02.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/aistpp__videos__14_gBR_sBM_c01_d05_mBR0_ch02.jpg,ok,359.0,719.0,59.94005994005994,1920.0,1080.0,
compas3d__clips_3s_10fps__00_00_0_3s_10fps,video_middle_frame,/workspace/datasets_shapy_eval/compas3d/clips_3s_10fps/00_00_0_3s_10fps.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/compas3d__clips_3s_10fps__00_00_0_3s_10fps.jpg,ok,15.0,30.0,10.0,1920.0,1080.0,
compas3d__clips_3s_10fps__01_01_1_3s_10fps,video_middle_frame,/workspace/datasets_shapy_eval/compas3d/clips_3s_10fps/01_01_1_3s_10fps.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/compas3d__clips_3s_10fps__01_01_1_3s_10fps.jpg,ok,15.0,30.0,10.0,1920.0,1080.0,
compas3d__clips_3s_10fps__02_02_2_3s_10fps,video_middle_frame,/workspace/datasets_shapy_eval/compas3d/clips_3s_10fps/02_02_2_3s_10fps.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/compas3d__clips_3s_10fps__02_02_2_3s_10fps.jpg,ok,15.0,30.0,10.0,1920.0,1080.0,
compas3d__clips_3s_10fps__03_03_3_3s_10fps,video_middle_frame,/workspace/datasets_shapy_eval/compas3d/clips_3s_10fps/03_03_3_3s_10fps.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/compas3d__clips_3s_10fps__03_03_3_3s_10fps.jpg,ok,15.0,30.0,10.0,1920.0,1080.0,
compas3d__clips_3s_10fps__04_04_4_3s_10fps,video_middle_frame,/workspace/datasets_shapy_eval/compas3d/clips_3s_10fps/04_04_4_3s_10fps.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/compas3d__clips_3s_10fps__04_04_4_3s_10fps.jpg,ok,15.0,30.0,10.0,1920.0,1080.0,
compas3d__clips_3s_10fps__05_05_5_3s_10fps,video_middle_frame,/workspace/datasets_shapy_eval/compas3d/clips_3s_10fps/05_05_5_3s_10fps.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/compas3d__clips_3s_10fps__05_05_5_3s_10fps.jpg,ok,15.0,30.0,10.0,1920.0,1080.0,
compas3d__clips_3s_10fps__06_06_6_3s_10fps,video_middle_frame,/workspace/datasets_shapy_eval/compas3d/clips_3s_10fps/06_06_6_3s_10fps.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/compas3d__clips_3s_10fps__06_06_6_3s_10fps.jpg,ok,15.0,30.0,10.0,1920.0,1080.0,
compas3d__clips_3s_10fps__07_07_7_3s_10fps,video_middle_frame,/workspace/datasets_shapy_eval/compas3d/clips_3s_10fps/07_07_7_3s_10fps.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/compas3d__clips_3s_10fps__07_07_7_3s_10fps.jpg,ok,15.0,30.0,10.0,1920.0,1080.0,
compas3d__clips_3s_10fps__08_08_8_3s_10fps,video_middle_frame,/workspace/datasets_shapy_eval/compas3d/clips_3s_10fps/08_08_8_3s_10fps.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/compas3d__clips_3s_10fps__08_08_8_3s_10fps.jpg,ok,15.0,30.0,10.0,1920.0,1080.0,
compas3d__clips_3s_10fps__09_09_9_3s_10fps,video_middle_frame,/workspace/datasets_shapy_eval/compas3d/clips_3s_10fps/09_09_9_3s_10fps.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/compas3d__clips_3s_10fps__09_09_9_3s_10fps.jpg,ok,15.0,30.0,10.0,1920.0,1080.0,
compas3d__clips_3s_10fps__10_10_10_3s_10fps,video_middle_frame,/workspace/datasets_shapy_eval/compas3d/clips_3s_10fps/10_10_10_3s_10fps.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/compas3d__clips_3s_10fps__10_10_10_3s_10fps.jpg,ok,15.0,30.0,10.0,1920.0,1080.0,
compas3d__clips_3s_10fps__11_11_11_3s_10fps,video_middle_frame,/workspace/datasets_shapy_eval/compas3d/clips_3s_10fps/11_11_11_3s_10fps.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/compas3d__clips_3s_10fps__11_11_11_3s_10fps.jpg,ok,15.0,30.0,10.0,1920.0,1080.0,
compas3d__clips_3s_10fps__12_12_12_3s_10fps,video_middle_frame,/workspace/datasets_shapy_eval/compas3d/clips_3s_10fps/12_12_12_3s_10fps.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/compas3d__clips_3s_10fps__12_12_12_3s_10fps.jpg,ok,15.0,30.0,10.0,1920.0,1080.0,
compas3d__clips_3s_10fps__13_13_13_3s_10fps,video_middle_frame,/workspace/datasets_shapy_eval/compas3d/clips_3s_10fps/13_13_13_3s_10fps.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/compas3d__clips_3s_10fps__13_13_13_3s_10fps.jpg,ok,15.0,30.0,10.0,1920.0,1080.0,
compas3d__clips_3s_10fps__14_14_14_3s_10fps,video_middle_frame,/workspace/datasets_shapy_eval/compas3d/clips_3s_10fps/14_14_14_3s_10fps.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/compas3d__clips_3s_10fps__14_14_14_3s_10fps.jpg,ok,15.0,30.0,10.0,1920.0,1080.0,
compas3d__videos__00_0,video_middle_frame,/workspace/datasets_shapy_eval/compas3d/videos/00_0.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/compas3d__videos__00_0.jpg,ok,4525.0,9050.0,59.94005994005994,1920.0,1080.0,
compas3d__videos__01_1,video_middle_frame,/workspace/datasets_shapy_eval/compas3d/videos/01_1.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/compas3d__videos__01_1.jpg,ok,4523.0,9046.0,59.94005994005994,1920.0,1080.0,
compas3d__videos__02_2,video_middle_frame,/workspace/datasets_shapy_eval/compas3d/videos/02_2.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/compas3d__videos__02_2.jpg,ok,4528.0,9056.0,59.94005994005994,1920.0,1080.0,
compas3d__videos__03_3,video_middle_frame,/workspace/datasets_shapy_eval/compas3d/videos/03_3.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/compas3d__videos__03_3.jpg,ok,4526.0,9052.0,59.94005994005994,1920.0,1080.0,
compas3d__videos__04_4,video_middle_frame,/workspace/datasets_shapy_eval/compas3d/videos/04_4.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/compas3d__videos__04_4.jpg,ok,4525.0,9050.0,59.94005994005994,1920.0,1080.0,
compas3d__videos__05_5,video_middle_frame,/workspace/datasets_shapy_eval/compas3d/videos/05_5.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/compas3d__videos__05_5.jpg,ok,2261.0,4523.0,29.97002997002997,1920.0,1080.0,
compas3d__videos__06_6,video_middle_frame,/workspace/datasets_shapy_eval/compas3d/videos/06_6.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/compas3d__videos__06_6.jpg,ok,2261.0,4522.0,29.97002997002997,1920.0,1080.0,
compas3d__videos__07_7,video_middle_frame,/workspace/datasets_shapy_eval/compas3d/videos/07_7.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/compas3d__videos__07_7.jpg,ok,2260.0,4520.0,29.97002997002997,1920.0,1080.0,
compas3d__videos__08_8,video_middle_frame,/workspace/datasets_shapy_eval/compas3d/videos/08_8.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/compas3d__videos__08_8.jpg,ok,4522.0,9044.0,59.94005994005994,1920.0,1080.0,
compas3d__videos__09_9,video_middle_frame,/workspace/datasets_shapy_eval/compas3d/videos/09_9.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/compas3d__videos__09_9.jpg,ok,4524.0,9048.0,59.94005994005994,1920.0,1080.0,
compas3d__videos__10_10,video_middle_frame,/workspace/datasets_shapy_eval/compas3d/videos/10_10.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/compas3d__videos__10_10.jpg,ok,4526.0,9052.0,59.94005994005994,1920.0,1080.0,
compas3d__videos__11_11,video_middle_frame,/workspace/datasets_shapy_eval/compas3d/videos/11_11.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/compas3d__videos__11_11.jpg,ok,4522.0,9044.0,59.94005994005994,1920.0,1080.0,
compas3d__videos__12_12,video_middle_frame,/workspace/datasets_shapy_eval/compas3d/videos/12_12.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/compas3d__videos__12_12.jpg,ok,4522.0,9044.0,59.94005994005994,1920.0,1080.0,
compas3d__videos__13_13,video_middle_frame,/workspace/datasets_shapy_eval/compas3d/videos/13_13.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/compas3d__videos__13_13.jpg,ok,4522.0,9044.0,59.94005994005994,1920.0,1080.0,
compas3d__videos__14_14,video_middle_frame,/workspace/datasets_shapy_eval/compas3d/videos/14_14.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/compas3d__videos__14_14.jpg,ok,4522.0,9044.0,59.94005994005994,1920.0,1080.0,
kth__tmp__person01_walking_d1_uncomp,video_middle_frame,/workspace/datasets_shapy_eval/kth/tmp/person01_walking_d1_uncomp.avi,/workspace/evaluation/shapy/raw_images/frames_from_videos/kth__tmp__person01_walking_d1_uncomp.jpg,skipped,,,,,,cv2.VideoCapture could not open video
